Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Topic
Gonadarche is best described as the:,activation of the adrenal glands that produces body odor and body hair,maturation of the sex organs and increased production of sex hormones,attainment of adult height,first appearance of acne,2,Gonadarche is the process involving maturation of the gonads and increased secretion of sex hormones essential to sexual development.,medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which of the following is a primary sex characteristic-,Growth of underarm hair,Development of breasts,Enlargement and maturation of the reproductive organs,Change in voice pitch,3,Primary sex characteristics are changes directly related to the reproductive organs and reproductive capacity.,medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which of the following is a secondary sex characteristic-,Ovulation,Sperm production,Maturation of the ovaries,Appearance of pubic hair,4,"Secondary sex characteristics are physical changes associated with puberty that are not directly part of the reproductive organs, such as pubic hair.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
The adolescent growth spurt refers to:,rapid gain in abstract reasoning,temporary emotional instability during the teen years,the sharp increase in height and weight that occurs during puberty,accelerated moral development after age 15,3,The adolescent growth spurt is the rapid increase in height and weight that typically occurs during puberty.,medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Menarche refers to:,the beginning of breast development,a girl's first menstruation,a girl's first ovulation confirmed by laboratory testing,the completion of female pubertal development,2,"Menarche is the term for a girl's first menstrual period, a major milestone in female pubertal development.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Spermarche refers to:,enlargement of the testes,a boy's first ejaculation,the onset of facial hair,the first rise in testosterone,2,Spermarche refers to the first ejaculation and marks an important milestone in male sexual maturation.,medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which statement about pubertal timing is most accurate- interprets the change,Early maturation is always advantageous for both sexes,Late maturation is always harmful for both sexes,The effects of timing depend partly on context and on how the adolescent interprets the change,Timing has no relation to psychosocial outcomes,3,"The effects of pubertal timing vary depending on peer context, available support, and the adolescent's own interpretation of the changes.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which adolescent is at greatest risk for difficulty adjusting to pubertal change- simultaneous stressors,One whose maturation closely matches peer timing and who views changes positively,One who matures much earlier or later than peers and faces multiple simultaneous stressors,One who receives accurate health education,One whose school environment is supportive,2,Adolescents who mature off-time relative to peers and who face multiple stressors are more vulnerable to adjustment difficulties during puberty.,medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which statement best reflects the secular trend in maturation- generations,Puberty now begins later because of modern stress,Adult height has become less variable across generations,Sexual maturity and adult height have tended to be reached earlier across generations,Genetic factors no longer influence pubertal timing,3,"The secular trend refers to the pattern in which, across generations, sexual maturity and adult height are attained earlier, often due to improved nutrition and health conditions.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Research on body fat and pubertal timing most strongly suggests that:,body composition has no developmental significance,reaching a critical level of body fat may help trigger puberty,lower body fat uniformly accelerates puberty,only males are affected by nutritional status,2,Research suggests that reaching a critical level of body fat may contribute to the onset of puberty because sufficient energy reserves are important for reproductive maturation.,medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which statement best describes the adolescent brain- of behavior,It is fully mature by the onset of puberty,It undergoes no major structural change after childhood,"It is still developing in areas related to judgment, self-control, and organization of behavior",It is more mature emotionally than cognitively,3,"During adolescence, important brain regions involved in judgment, self-control, planning, and behavioral organization continue to develop.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which pattern helps explain heightened adolescent risk-taking- systems,Frontal lobe systems mature before emotional systems,Limbic and socioemotional systems mature earlier than cognitive-control systems,White matter decreases sharply throughout adolescence,Adolescents lack the capacity for abstract thought,2,Heightened risk-taking in adolescence is partly explained by the earlier maturation of limbic and socioemotional systems relative to the slower development of cognitive-control systems.,medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Continuing myelination during adolescence most directly contributes to:,reduced need for sleep,faster and more efficient neural transmission,earlier puberty in girls,elimination of peer influence,2,"Myelination increases the speed and efficiency of neural communication, improving the brain's processing and coordination functions during adolescence.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
A 15-year-old knows that reckless driving is dangerous but still races when friends are present. This behavior is best explained by:,complete absence of moral reasoning,delayed acquisition of language,immature interaction between socioemotional and cognitive-control systems,failure to enter formal operations,3,"Adolescents may understand risk cognitively but still act impulsively in emotionally charged, peer-influenced contexts because socioemotional systems can outweigh still-developing control systems.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which statement best characterizes adolescent physical health- or poverty-related,Adolescence is typically marked by severe chronic illness,Most health problems in adolescence are unrelated to lifestyle,"Adolescence is generally a healthy period, but major risks are often behavior- or poverty-related",Physical health is uniformly poor because of rapid growth,3,"Adolescence is usually a physically healthy stage, but many serious risks arise from behavior, lifestyle, mental health concerns, and social disadvantage.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which outcome is most strongly associated with regular physical activity in adolescence-,Greater sleep deprivation,Higher risk of obesity,Better physical and mental health,Reduced school engagement,3,"Regular physical activity promotes better physical fitness, weight regulation, emotional well-being, and overall mental health in adolescence.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which statement about adolescent sleep is most accurate- with biological rhythms,Adolescents need less sleep than children,Weekend oversleeping fully corrects chronic school-night sleep loss,Many adolescents do not get enough sleep because school schedules conflict with biological rhythms,Sleep deprivation has little effect on performance,3,"Many adolescents experience insufficient sleep because their biological rhythms shift toward later sleep times, while school schedules often require early waking.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which consequence is most likely when adolescents experience chronic sleep deprivation-,Improved attention in class,Better impulse control,Irritability and impaired concentration,Reduced accident risk while driving,3,"Chronic sleep deprivation commonly leads to irritability, poor concentration, reduced academic performance, and weakened emotional regulation.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which adolescent is at greatest risk for developing an eating disorder-,One with realistic body expectations and strong body satisfaction,One with intense body image concern and extreme weight-control behavior,One who participates in regular exercise and balanced eating,One who receives family support and nutrition education,2,Intense body dissatisfaction and extreme attempts to control weight are strong warning signs and risk factors for eating disorders.,medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which disorder is characterized primarily by self-starvation and severely low body weight-,Bulimia nervosa,Binge eating disorder,Anorexia nervosa,Substance dependence,3,"Anorexia nervosa is characterized by severe restriction of food intake, intense fear of weight gain, and significantly low body weight.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which statement distinguishes bulimia nervosa from anorexia nervosa-,Bulimia involves no concern with body shape,Bulimia commonly includes bingeing followed by compensatory behavior,Bulimia occurs only in boys,Bulimia is always medically harmless,2,"Bulimia nervosa is distinguished by recurrent binge eating followed by compensatory behaviors such as vomiting, fasting, or laxative misuse.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Binge eating disorder is best described as:,repeated binge eating without the compensatory purging typical of bulimia,refusal to eat due to fear of contamination,overeating caused solely by endocrine disease,episodic fasting followed by excessive exercise only,1,Binge eating disorder involves recurrent episodes of excessive food intake without the regular compensatory purging behaviors seen in bulimia nervosa.,medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which substances are most commonly used by adolescents-,"Hallucinogens, heroin, and inhalants","Marijuana, alcohol, and tobacco","Sedatives, antipsychotics, and opioids","Cocaine, methamphetamine, and PCP",2,"Marijuana, alcohol, and tobacco are among the substances most commonly used by adolescents and are major public health concerns.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
"An adolescent who continues alcohol use despite impairment in school, family, and health is showing strongest evidence of:",normal experimentation,substance dependence or abuse,formal operational thought,postconventional morality,2,Continued alcohol use despite significant impairment in important areas of functioning is a strong indicator of substance abuse or dependence rather than normal experimentation.,medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which statement about adolescent depression is most accurate-,It usually appears only as overt sadness,"It may appear as irritability, boredom, or loss of pleasure",It is equally prevalent across all developmental periods,It rarely co-occurs with other risk factors,2,"Adolescent depression may present as irritability, boredom, loss of pleasure, or withdrawal, not just overt sadness.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which adolescent is at higher risk for depression-,"One with chronic stress, poor sleep, and a family history of depression","One with strong support, healthy sleep, and low stress",One with no medical or psychosocial burden,One who shows no functional impairment,1,"Chronic stress, sleep problems, and family history are well-established risk factors that increase the likelihood of adolescent depression.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Leading causes of death in adolescence commonly include:,"congenital anomalies, leukemia, and dementia","malnutrition, pneumonia, and stroke","motor vehicle accidents, firearm-related incidents, and suicide","osteoporosis, diabetes, and renal failure",3,"The leading causes of death in adolescence commonly involve preventable causes such as accidents, violence, and suicide.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Piaget's stage of formal operations enables adolescents to:,rely only on tangible objects in solving problems,think hypothetically and test possible solutions systematically,solve problems only by trial and error,abandon deductive reasoning in favor of intuition,2,"Formal operational thought allows adolescents to think abstractly, generate hypotheses, and test possible solutions systematically.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Hypothetical-deductive reasoning is best illustrated by a student who:,guesses the answer based on habit,tests several possible explanations systematically before drawing a conclusion,rejects evidence that contradicts prior beliefs,solves only familiar real-life problems,2,Hypothetical-deductive reasoning involves generating multiple possible explanations and evaluating them logically before reaching a conclusion.,medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
Which statement about formal operations is most accurate-,All adolescents automatically reach and consistently use formal operations,Formal operations develop independently of environmental stimulation,Not all adolescents attain or consistently use formal operational thinking,Formal operations eliminate egocentric thought completely,3,"Formal operational thinking is not universal and may depend on experience, education, and context, so not all adolescents attain or use it consistently.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
"A 16-year-old who believes that ""everyone in school is watching me"" is showing:",personal fable,hypothetical reasoning,imaginary audience,identity foreclosure,3,Imaginary audience refers to the adolescent belief that others are constantly observing and evaluating them.,medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
"A teenager who says, ""Nothing bad will happen to me because I am different from other people,"" best illustrates:",conventional morality,personal fable,metacognition,role confusion,2,"Personal fable refers to the adolescent belief in one's uniqueness and invulnerability, often leading to unrealistic perceptions of risk.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
"According to Kohlberg, moral reasoning develops from:",instinctual drives to emotional regulation,"external control to internalized standards and, for some, principled reasoning",punishment avoidance directly to relativism,social conformity to instinctive morality,2,"Kohlberg proposed that moral reasoning develops from externally controlled judgments to internalized social standards and, for some individuals, principled ethical reasoning.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
"A licensed psychometrician in a secondary school is asked to administer and score cognitive tests to adolescents, but the principal also asks the psychometrician to disclose an individual student's results to unrelated school staff ""for convenience."" Which response is most ethical and legally defensible- purposes while maintaining confidentiality",Release the full results because school personnel are all entitled to them,Refuse all reporting under any circumstance,Disclose only to properly authorized persons for legitimate professional purposes while maintaining confidentiality,Allow an untrained teacher to interpret the results to save time,3,"Confidential assessment results should be disclosed only to properly authorized persons for legitimate professional purposes, consistent with ethical standards on confidentiality and lawful professional practice under Republic Act No. 10029.",medium,Developmental Psychology,Chapter 11: Physical and Cognitive Development in Adolescence
"According to Erikson, the central psychosocial task of adolescence is to develop",generativity rather than stagnation,identity rather than role confusion,intimacy rather than isolation,autonomy rather than shame and doubt,2,"Erikson identified adolescence as the stage of identity versus identity confusion, in which the young person works toward a coherent sense of self, including goals, values, and role in society.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
An adolescent who is seriously considering several career options and reflecting on personal values before making a decision is best described as being in,foreclosure,diffusion,moratorium,achievement,3,Moratorium refers to active exploration without final commitment. The adolescent is seriously considering alternatives and is still deciding.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which statement best describes identity achievement-,Commitment without prior exploration,Lack of both exploration and commitment,A stable commitment following exploration,Rebellion against all adult expectations,3,"Identity achievement occurs when an adolescent has explored alternatives and then made a personal commitment to chosen values, goals, or roles.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
An adolescent accepts the family's political and religious beliefs without question and has never explored alternatives. This is the best example of,identity diffusion,foreclosure,moratorium,achievement,2,"Foreclosure describes commitment made without active exploration, often by accepting parental or authority expectations uncritically.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which adolescent is most likely in identity diffusion-,One who has explored options and made a personal commitment,One who has adopted parental expectations without question,One who is actively exploring alternatives but remains undecided,One who shows little interest in choosing goals or values,4,Identity diffusion is characterized by absence of active exploration and absence of commitment.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Erikson used the term psychosocial moratorium to refer to,a period of permanent emotional instability,a socially sanctioned period for identity exploration,a delay caused by intellectual disability,withdrawal from all peer relationships,2,"Psychosocial moratorium is Erikson's term for the time adolescence provides to explore roles, values, and goals before assuming full adult responsibilities.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Successful resolution of identity versus identity confusion leads primarily to the virtue of,hope,will,purpose,fidelity,4,"Fidelity is the virtue that emerges from successful resolution of identity versus identity confusion. It refers to sustained loyalty to commitments, values, and relationships.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which of the following best reflects fidelity in adolescence-,Blind obedience to parents,Loyalty to values and commitments one has made,Avoidance of difficult life choices,Dependence on peers for self-definition,2,"Fidelity means maintaining loyalty, faith, or belonging toward chosen commitments, beliefs, and relationships after identity work has occurred.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which issue is NOT one of the major areas involved in identity formation in adolescence according to Erikson-,Choice of occupation,Adoption of values,Development of sexual identity,Selection of parenting style,4,"Erikson emphasized three key identity issues in adolescence: vocation, values, and sexual identity. Parenting style is not one of the three core issues.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Research on ethnic identity in adolescence suggests that positive cultural socialization tends to,weaken ethnic identity by increasing conformity pressure,eliminate all identity conflict immediately,strengthen ethnic pride and positive ethnic identity,make peer influence irrelevant,3,"Positive cultural socialization helps adolescents understand their heritage, build pride, and develop a stronger, more positive ethnic identity.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Cultural socialization refers to parental practices that,shield adolescents from all cultural differences,teach children about heritage and promote cultural pride,discourage identification with ethnic traditions,replace peer values with institutional values,2,"Cultural socialization includes practices that expose children to traditions, history, customs, and pride in their racial or ethnic background.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which statement best reflects the role of culture in identity formation-,Culture has little effect once puberty begins,Identity develops entirely independent of social context,"Culture shapes self-definition, values, and relational expectations",Identity is determined only by biology,3,"Identity develops within cultural contexts that influence how adolescents define selfhood, obligations, independence, and relationships.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which adolescent statement best illustrates identity confusion-,"""I have examined my options and chosen goals I can defend.""","""I do not know what I believe, and I avoid thinking about it.""","""I accepted my parents' plans because I trust them completely.""","""I am weighing alternatives before deciding.""",2,"This statement reflects lack of commitment and lack of meaningful exploration, which is characteristic of identity confusion or diffusion.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
"Awareness of oneself as a sexual being, recognition of sexual orientation, and development of romantic attachments are all part of",operant conditioning,sexual identity,formal operations,psychosocial moratorium,2,"Sexual identity includes seeing oneself as a sexual being, recognizing sexual orientation, and forming romantic or sexual attachments.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which statement about adolescent sexuality is most accurate-,Its expression is entirely biologically fixed,It is biologically driven but also shaped by cultural context,It is determined only by peer norms,It emerges only after late adolescence,2,"Adolescent sexuality has biological foundations, but its meaning, expression, norms, and acceptable forms are also shaped by culture.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which factor is most consistent with current developmental views on sexual orientation-,It is caused solely by parental discipline style,It appears to involve interaction of biological and environmental influences,It is best explained by imitation of peers,It results only from adolescent experimentation,2,Contemporary developmental views reject overly simplistic explanations and recognize that sexual orientation is influenced by interacting biological and environmental factors.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
A school psychologist insists on discussing a student's sexual orientation concerns in front of teachers who are not part of the case conference. This primarily violates the ethical principle of,confidentiality,occupational fidelity,psychometric scaling,social facilitation,1,"Discussing a student's sexual orientation concerns with unnecessary persons violates confidentiality and privacy, which are core ethical duties.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
"Under the PAP Code of Ethics, when dealing with adolescent disclosures in counseling or assessment, the practitioner must primarily limits",share all information with school personnel for efficiency,safeguard confidential information and disclose only within ethical and legal limits,avoid documentation to protect the adolescent,promise absolute secrecy under all circumstances,2,"The PAP Code emphasizes protection of confidentiality, privacy, and disclosure only under justified ethical or legal conditions.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which approach to sex education is generally more effective in delaying sexual initiation-,Abstinence-only instruction,Fear-based lectures without skills training,Programs combining abstinence with safe-sex education,Programs that avoid discussing contraception,3,Programs that encourage abstinence while also teaching safe sexual practices are more effective than abstinence-only approaches in delaying sexual initiation and reducing risk.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which adolescent is at greatest immediate risk for sexually transmitted infection-,One who delays sexual activity,"One in a mutually monogamous, tested relationship",One with multiple partners and inconsistent condom use,One who receives comprehensive sex education,3,Multiple partners combined with inconsistent barrier protection is a clear risk pattern for STI transmission.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which condition most strongly increases the likelihood of adolescent pregnancy-,Access to accurate contraceptive information,Consistent contraceptive use,Early and unprotected sexual activity,Supportive parental monitoring,3,Teenage pregnancy risk rises sharply when sexual activity begins early and contraception is absent or inconsistently used.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
A practitioner asks an adolescent to answer a sexuality inventory in school. Which action is most ethically appropriate- and explain limits of confidentiality,Administer it immediately because minors cannot refuse,Obtain informed consent/assent in language the adolescent can understand and explain limits of confidentiality,Let classmates observe so the process is transparent,Share results first with peers for validation,2,"Ethically, minors should receive an understandable explanation, their assent should be sought, appropriate consent procedures should be followed, and limits of confidentiality must be clarified.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which statement best reflects the myth of adolescent rebellion-,All adolescents undergo severe conflict with parents,Most adolescents reject adult values entirely,"Serious storm-and-stress patterns occur mainly in a minority, not the majority",Parent-adolescent conflict is unrelated to autonomy development,3,The idea that all adolescents are rebellious is exaggerated. Severe turmoil characterizes only a minority; many adolescents maintain positive family relationships.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Individuation in adolescence refers to,complete emotional detachment from family,the struggle for autonomy and personal identity,rejection of all parental influence,preference for solitary activity,2,Individuation refers to the developmental process through which adolescents become more autonomous while establishing a separate personal identity.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Most family conflict in adolescence tends to center on,philosophical issues only,major moral principles exclusively,"everyday matters such as dress, curfew, chores, and friends",whether attachment existed in infancy,3,Most parent-adolescent disagreements concern day-to-day personal issues rather than deep moral or health-and-safety matters.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which parenting pattern is most protective against adolescent misconduct-,Very low monitoring and high freedom at all ages,Extreme intrusiveness into all personal matters,Balanced monitoring combined with warmth and support,Harsh coercion and punishment,3,"Adolescents function best when parents combine guidance and monitoring with warmth, communication, and support for appropriate autonomy.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Excessively low parental monitoring is most likely to,reduce peer influence on problem behavior,increase opportunity for antisocial peers to exert influence,guarantee earlier identity achievement,eliminate family conflict,2,Low monitoring leaves adolescents more exposed to unsupervised contexts in which deviant peer influence can operate strongly.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which statement best captures the role of peers in adolescence-,Peers become irrelevant once identity is achieved,"Peer relations can support identity, intimacy, and social development",Peer acceptance always prevents delinquency,Peer groups influence only academic motivation,2,"Peers are important contexts for companionship, self-definition, emotional support, social learning, and the rehearsal of close relationships.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which adolescent is most at risk for deviant peer contagion-,"One involved in structured, adult-supervised activities",One with warm family relationships and reasonable monitoring,One who spends large amounts of unsupervised time with antisocial peers,One with clear behavioral expectations at home,3,Unsupervised association with deviant peers heightens the likelihood of reinforcement of antisocial behavior and delinquency.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
"Compared with childhood, sibling relationships in adolescence often",disappear in importance,become uniformly hostile,remain significant while changing as autonomy increases,affect only academic identity,3,"Sibling ties continue to matter in adolescence, though their form may shift as identity, independence, and peer involvement increase.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which statement best reflects changing adolescent time use- interaction,Adolescents spend less time with peers than in childhood,Adolescents generally gain more discretionary time and more peer-oriented interaction,Family interaction becomes the only major influence,Time use becomes biologically predetermined,2,Adolescence is marked by increased time with peers and more independent use of discretionary time compared with earlier childhood.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Juvenile delinquency is best understood as,a result of biological factors alone,"an outcome of interacting biological, family, peer, and community influences",evidence of normal identity achievement,a temporary phase experienced by all adolescents,2,Delinquency is multifactorial and is best understood as emerging from interacting risk factors rather than a single cause.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which adolescent is showing antisocial behavior rather than normative experimentation-,Questioning parental career expectations,Trying a new clothing style,"Repeated theft, aggression, and disregard for rules and others' rights",Spending more time with friends,3,"Persistent rule violation, aggression, and disregard for others' rights are markers of antisocial behavior, not merely ordinary adolescent experimentation.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which factor is most associated with greater risk for delinquency-,Supportive family climate,Strong school attachment,Association with deviant peers in high-risk neighborhoods,Involvement in extracurricular activities,3,Deviant peer affiliation combined with neighborhood risk substantially increases the likelihood of delinquent outcomes.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which intervention is LEAST advisable for high-risk delinquent youth-,Adult-monitored after-school programs,Parenting programs that improve monitoring and behavioral management,Activities that integrate youth with prosocial peers,Unstructured grouping of deviant adolescents with one another,4,Programs that cluster deviant youth together without strong structure can worsen behavior through mutual reinforcement of antisocial norms.,medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
"A psychometrician is asked to administer and score a delinquency-risk test to adolescents. Under RA 10029 and the PAP Code, the psychometrician should limits",interpret clinical meaning independently even beyond competence,administer and score within lawful scope and proper supervision/competence limits,disclose raw results to anyone who requests them,improvise procedures if manuals are unavailable,2,"RA 10029 and the ethics code require practitioners to work within legal scope, competence boundaries, and proper supervisory arrangements. Psychometricians must not exceed lawful professional functions.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which practice best reflects ethical handling of adolescent assessment results- confidentiality limits,Posting results in a faculty group chat for coordination,Explaining results only to administrators because minors lack rights,Sharing only relevant information with authorized persons and respecting confidentiality limits,Giving conclusions without documenting the basis,3,"Ethical assessment practice requires limited, need-based disclosure, respect for confidentiality, and communication only with authorized parties.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
"A practitioner is asked by a third party to assess an adolescent for school placement. Ethically, the practitioner should first clarify information, and confidentiality limits",only the student's IQ level,"the nature of the relationship, who the client is, probable uses of the information, and confidentiality limits",that all results automatically belong to classmates for transparency,that informed consent is unnecessary in schools,2,"In third-party service requests, practitioners must clarify roles, intended use of information, client identity, and confidentiality boundaries at the outset.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which of the following best reduces adolescent risk behavior over time- monitoring,Warmth without any limits,Strict control without communication,"Positive family relationships, appropriate autonomy support, and effective monitoring",Removal of all peer contact,3,"Healthy family climate, monitoring, and support for growing autonomy reduce risk and promote self-regulation and adjustment.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which statement best summarizes healthy psychosocial development in adolescence- responsible decision-making,It requires complete independence from adults before identity can form,"It involves integrating identity, sexuality, family ties, peer relations, and responsible decision-making",It is measured only by absence of conflict,It is determined mainly by pubertal timing,2,"Healthy psychosocial development in adolescence is multidimensional. It includes a coherent sense of self, responsible management of sexuality, adaptive family and peer relationships, and growing self-regulation.",medium,Developmental Psychology,Chapter 12: Psychosocial Development in Adolescence
Which statement best describes emerging adulthood- varied routes,It is a universally recognized developmental stage with fixed social markers,It is a brief period limited to ages 18 to 19 only,It is a transitional period in which entry into adulthood is delayed and follows varied routes,It is synonymous with middle adulthood,3,"Emerging adulthood refers to a transitional period in which movement into adult roles is less clearly marked and follows varied pathways, especially in societies where stable adult commitments are delayed.",medium,Developmental Psychology,Chapter 13: Physical and Cognitive Development in Emerging and Young Adulthood
"In emerging and young adulthood, physical and sensory functioning is generally characterized by:",rapid irreversible decline,peak performance followed by slight decline,total stability with no age-related variation,major impairment in most individuals,2,"Physical and sensory capacities are generally at their peak in emerging and young adulthood, although slight decline may begin thereafter.",medium,Developmental Psychology,Chapter 13: Physical and Cognitive Development in Emerging and Young Adulthood
The leading cause of death in emerging and young adulthood is:,congenital anomaly,infectious disease,accidents,dementia,3,"Accidents are the leading cause of death in emerging and young adulthood, highlighting the importance of injury prevention and risk reduction.",medium,Developmental Psychology,Chapter 13: Physical and Cognitive Development in Emerging and Young Adulthood
Which factor best reflects a genetic influence on health in young adulthood- research,Access to college counseling,Discovery of inherited susceptibility to certain disorders through genome research,Participation in peer organizations,Preference for online learning,2,"A genetic influence on health involves inherited biological susceptibility, and genome research has helped identify predispositions to certain disorders.",medium,Developmental Psychology,Chapter 13: Physical and Cognitive Development in Emerging and Young Adulthood
Which set of variables is most directly classified as behavioral influences on health-,"Diet, exercise, sleep, smoking, and substance use","Ethnicity, sex, and blood type","Family size, occupation, and religion","Birth order, school type, and marital status",1,"Behavioral influences on health refer to lifestyle habits that directly affect wellness and disease risk, including diet, exercise, sleep, smoking, and substance use.",medium,Developmental Psychology,Chapter 13: Physical and Cognitive Development in Emerging and Young Adulthood
"A psychometrician explains to a young adult client that chronic sleep deprivation, sedentary habits, smoking, and alcohol misuse may eventually affect health outcomes. This statement is best supported by the principle that:",lifestyle choices influence health and survival,heredity alone determines adult health,health behavior is unrelated to long-term functioning,disease in adulthood is entirely random,1,"The statement reflects the principle that long-term lifestyle choices significantly influence health, functioning, and survival.",medium,Developmental Psychology,Chapter 13: Physical and Cognitive Development in Emerging and Young Adulthood
Which statement best reflects an indirect influence on health in emerging adulthood- mental health,Intelligence determines immunity,"Social relationships, especially marriage, are associated with physical and mental health",Formal operations guarantee good health behavior,Moral reasoning directly causes resistance to infection,2,"Indirect influences on health include social and relational factors, and supportive relationships such as marriage are associated with better physical and mental health outcomes.",medium,Developmental Psychology,Chapter 13: Physical and Cognitive Development in Emerging and Young Adulthood
Good health in early adulthood is most consistently associated with:,lower education and lower income,high peer conformity,higher income and education,authoritarian parenting only,3,"Higher income and education are associated with better health outcomes because they improve access to care, health knowledge, and protective life conditions.",medium,Developmental Psychology,Chapter 13: Physical and Cognitive Development in Emerging and Young Adulthood
Which statement is most accurate regarding minority status and health- factors playing a major role,Minority status has no association with health variation,Health differences are entirely genetic,"Some minority groups show poorer health outcomes, with socioeconomic factors playing a major role",Only marital status predicts health disparities,3,Health disparities among some minority groups are strongly associated with socioeconomic inequality rather than being explained solely by genetics.,medium,Developmental Psychology,Chapter 13: Physical and Cognitive Development in Emerging and Young Adulthood
